endTime,artistName,trackName,msPlayed,track_uri
2020-12-22 01:32,Dove Cameron,Cooties,232,spotify:track:6fR05tSvGWykdHWcSCzErZ
2020-12-22 01:32,Queen Latifah,"I Know Where I've Been - From ""Hairspray""",1462,
2020-12-22 01:35,P!nk,Love Me Anyway (feat. Chris Stapleton),1335,spotify:track:4Kmp7D3Gg95xv5dzg2mPMq
2020-12-22 01:35,John Legend,History Has Its Eyes On You,118595,spotify:track:131fUGYVs2uriiDmB0TKn8
2020-12-22 01:35,"Sandy Duncan, Howard McGillin, Liz Callaway, Dakin Matthews, Adam Wylie, J.D. Daniels, Lex de Azevedo, David Zippel",This Is My Idea,1741,
2020-12-22 01:39,Andy Black,We Don't Have To Dance,2856,spotify:track:13b32GfUIo3BV93C8KtEdj
2020-12-22 01:39,Fall Out Boy,The Kids Aren't Alright,260920,spotify:track:3x7NGlfDKQYN2wnwEnL7r9
2020-12-22 01:43,The Cab,Stand Up,696,spotify:track:37OjMlwuUVWWmVKrV8CiUQ
2020-12-22 01:43,Neon Trees,Songs I Can't Listen To,1068,spotify:track:1WMBlpjhd3AUQiNfJOzfIl
2020-12-22 01:43,Parachute,Kiss Me Slowly,1126,spotify:track:72R0X0h8YaxYNpegeoOl0M
2020-12-22 01:43,Forever The Sickest Kids,La La Lainey,0,spotify:track:0HjPEb23QO6cGqYfdQVd3K
2020-12-22 01:43,All Time Low,Missing You,835,spotify:track:0LSY3NePenK0VG7nRUTVk8
